Novel Name,Chapter Left off on,Last Read Date,,,,
A Record of a Mortal's Journey to Immortality,-,7/14/2020,,Original,,Like
A Stay at Home Dad's Restaurant in another World,-,7/14/2020,,Korean,,
Archean Eon Art,-,7/14/2020,,Japanese,,
Genius Detective,-,7/14/2020,,Completed,,
God of Fishing,191,7/14/2020,,Translation Dropped,,
I Am the God of Games ,-,7/14/2020,,Finished Reading,,
I Don't want to Defy the Heavens,111,7/14/2020,,Translation Finished,,
I Might Be a Fake Cultivator,623,7/14/2020,,,,
Imperial God Emperor,62,7/14/2020,,,,
Kingdom's Bloodline,-,7/14/2020,,,,
Lord of All Realms,-,7/14/2020,,,,
Losing Money to Be a Tycoon,-,7/14/2020,,,,
Monarch of Evernight,-,7/14/2020,,,,
Netherworld Investigator,-,7/14/2020,,,,
Otherworldly Merchant,-,7/14/2020,,,,
Renegade Immortal,1044,7/14/2020,,,,
The Surgeon's Studio,148,7/14/2020,,,,
The Ultimate Evolution,FIN,7/14/2020,,,,
Thrones of Magical Arcana,-,7/14/2020,,,,
Trafford's Trading Club,-,7/14/2020,,,,
Transcending the Nine Heavens,-,7/14/2020,,,,
Unique Legend,V11C3,7/14/2020,,,,
Yama Rising,-,7/14/2020,,,,
Bank of the Universe,163,8/23/2020,,,,
Carefree Path of Dreams,FIN,8/23/2020,,,,
King of Gods,579,8/23/2020,,,,
Legend of Swordsman,1814,8/23/2020,,,,
Way of the Devil,273,8/23/2020,,,,
A World Worth Protecting,425,10/15/2020,,,,
Divine Card Creator,483,10/15/2020,,,,
The Devil's Cage,FIN,10/15/2020,,,,
Wu Dong Qian Kun,155,10/15/2020,,,,
Age of Adept,-,2/8/2021,,,,
Assassin's Chronicle,80,2/8/2021,,,,
Demon's Diary,-,2/8/2021,,,,
Embers Ad Infinitum,-,2/8/2021,,,,
Grandson Of The Holy Emperor Is A Necromancer,-,2/8/2021,,,,
History's Strongest Senior Brother,-,2/8/2021,,,,
I Shall Seal the Heavens,-,2/8/2021,,,,
I'm Actually a Cultivation Bigshot,-,2/8/2021,,,,
"Kumo Desu ga, Nani ka?",-,2/8/2021,,,,
Mages Are OP,-,2/8/2021,,,,
Martial God Space,7,2/8/2021,,,,
Overgeared,-,2/8/2021,,,,
Reincarnation Of The Strongest Sword God,-,2/8/2021,,,,
Release That Witch,-,2/8/2021,,,,
The Desolate Era,-,2/8/2021,,,,
The Legendary Moonlight Sculptor,-,2/8/2021,,,,
The Monk That Wanted To Renounce Ascetism,1159,2/8/2021,,,,
Warlock's Apprentice,373,2/8/2021,,,,
World of Cultivation,-,2/8/2021,,,,
48 Hours a Day,613,4/18/2021,,,,
Monster Paradise,589,4/18/2021,,,,
Pocket Hunting Dimension,40,4/18/2021,,,,
I'll Add Points To All Things,88,5/8/2021,,,,
Master of The End Times,545,5/8/2021,,,,
My Senior Brother is Too Steady,68,5/8/2021,,,,
Plague Doctor,245,5/8/2021,,,,
Picking Up Attributes From Today,FIN,5/29/2021,,,,
80 Years of Signing In At The Cold Palace,117,7/17/2021,,,,
A Will Eternal,327,7/17/2021,,,,
Abe the Wizard,257,7/17/2021,,,,
Eteranal Sacred King,179,7/17/2021,,,,
Fey Evolution Merchant,200,7/17/2021,,,,
Forty Millenniums of Cultivation,539,7/17/2021,,,,
Godly Model Creator,FIN,7/17/2021,,,,
I Am Really Not The Son of Providence,212,7/17/2021,,,,
Immortal Path to Heaven,146,7/17/2021,,,,
Monster Pet Evolution,363,7/17/2021,,,,
My Disciples Are All Villains,644,7/17/2021,,,,
Scholar's Advanced Technology System,184,7/17/2021,,,,
Spare Me Great Lord,92,7/17/2021,,,,
The Legendary Mechanic,1016,7/17/2021,,,,
Unparalleled After 10 Consecutive Draws,65,7/17/2021,,,,
Unrivaled Medicine God,38,7/17/2021,,,,
Xianxia: I Can Download Anything,119,7/17/2021,,,,
All My Beasts Are Legendary,56,8/4/2021,,,,
Astral Pet Store,347,8/4/2021,,,,
Breeding Dragons From Today,86,10/19/2021,,,,
I am a Scarecrow and the Demon Lord of Terror,63,10/19/2021,,,,
Lord Xue Ying,947,10/19/2021,,,,
Midnight Bookstore,20,10/19/2021,,,,
Soul of Negary,500,10/19/2021,,,,
Starting With Contract Pets,45,10/19/2021,,,,
AFK Farming Software,195,1/20/2022,,,,
Complete Martial Arts Attributes,465,1/20/2022,,,,
Mystical Journey,188,1/20/2022,,,,
A Wizard's Secret,802,2/18/2022,,,,
Digging to Survive,159,2/18/2022,,,,
I Am Really Not The Lord of Demon,,2/22/2022,,,,
Martial World,233,2/22/2022,,,,
Starting by Acting As A Bank Robber,102,2/22/2022,,,,
Super Detective in a Fantasy World,52,2/22/2022,,,,
The AFK Farming Software,230,2/22/2022,,,,
When A Mage Revolts,215,2/22/2022,,,,
I Have A Martial Arts Panel,288,3/19/2022,,,,
Infinite Survival,214,3/19/2022,,,,
Witcher: I Can Extract Everything,368,3/19/2022,,,,
Becoming an Ancestor,209,12/30/2022,,,,
Blacksmith Mjolnir,254,12/30/2022,,,,
I Level Up By Staying Idle,181,12/30/2022,,,,
